,track,KM,sensor,GPS_Lat,GPS_Long,Hoogte,sensor_type,grondsoort,locatie,Name
57,,18606.25,RM000422,51.94200722,5.231491144,-1.05,moisture,zand,oostspoor,moisture_GH_18606.25_deep
58,,18635.9375,RM000494,51.94177762,5.231712902,-0.95,moisture,zand, beetje klei,oostspoor,moisture_GH_18635.9375_deep
59,,18665.625,RM000498,51.94154792,5.231934407,-1.05,moisture,zand,oostspoor,moisture_GH_18665.625_deep
60,,18606.25,RM000492,51.94195187,5.231419147,-1.2,moisture,klei,westspoor,moisture_GT_18606.25_deep
61,,18635.9375,RM000496,51.9417231,5.23163959,-1,moisture,donker zand,westspoor,moisture_GT_18635.9375_deep
62,,18665.625,RM000500,51.94149432,5.23186003,-0.9,moisture,zand,westspoor,moisture_GT_18665.625_deep
63,,18606.25,RM000502,51.94197874,5.231455718,-1.05,moisture,klei,tussen,moisture_tussen_18606.25_deep
64,,18635.9375,RM000504,51.94174997,5.231676161,-1.1,moisture,klei-zand,tussen,moisture_tussen_18635.9375_deep
65,,18665.625,RM000506,51.94152119,5.231896601,-0.95,moisture,kleiig,tussen,moisture_tussen_18665.625_deep
66,,nan,Precipitation,51.941389, 5.231806,0,,precipitation,,,precipitation
